bcr_patient_barcode;dataset;GATA3;PTEN;XBP1;ESR1;MUC1;FN1;GAPDH
BRCA58;BRCA;2364625;1,14043E+14;2,48383E+14;4,26783E+14;2516125;0.476166666666667;-1,02917E+14
BRCA59;BRCA;194425;0.936285714285714;2,67708E+14;2,78642E+14;28815;0.584541666666667;-1,32217E+14
BRCA60;BRCA;192775;1,39164E+14;1,26733E+14;207275;272325;1,46917E+14;-1,38142E+14
BRCA61;BRCA;1703;1,08593E+14;191125;16945;323775;0.91625;-1,26042E+14
BRCA62;BRCA;2251375;21985;40255;4,37367E+14;2689;0.316;-10945
BRCA63;BRCA;219425;0.862857142857143;2,15083E+14;3,93142E+14;367175;1,25304E+14;-1,01142E+14
BRCA64;BRCA;-29355;-1,58043E+14;-0.917916666666667;-3901;0.460125;0.214708333333333;0.036
BRCA65;BRCA;173025;0.848714285714286;2,74183E+14;5,55033E+14;3700625;-1,00067E+14;-2,15067E+14
BRCA66;BRCA;14315;0.276571428571429;21425;3,44833E+14;3106;0.15125;-0.794083333333333
BRCA67;BRCA;2021875;0.905428571428571;3,27308E+14;3,74342E+14;220775;0.42825;-0.411333333333333
BRCA68;BRCA;233425;0.197428571428571;3,72983E+14;4,53158E+14;27145;0.119375;-1806
BRCA69;BRCA;-4565;0.665071428571429;-1,39591E+14;-3,59008E+14;2846375;-0.112375;-0.0604166666666667
BRCA70;BRCA;1426125;1,19036E+14;2,21517E+14;38335;2764125;-0.942375;-1,11333E+14
BRCA71;BRCA;197175;1,56357E+14;2,25858E+14;2,38058E+14;2315375;-0.285208333333333;-0.810666666666667
BRCA72;BRCA;-2713;0.456714285714286;-159225;-2,92008E+14;0.868375;-0.477875;-0.26975
BRCA73;BRCA;1498125;0.4205;202825;3,87742E+14;2747875;-0.594208333333333;-0.791083333333333
BRCA74;BRCA;3138875;0.620928571428571;3,43967E+14;4,62858E+14;33215;-0.340375;-1,89567E+14
BRCA75;BRCA;-0.000124999999999997;1,69243E+14;3,20183E+14;397575;1260375;-2,38742E+14;-211325
BRCA76;BRCA;-1031;0.0466428571428571;-126275;-1,10242E+14;192175;0.113125;0.582583333333333
BRCA77;BRCA;1216;1,57229E+14;105275;465275;3474;-0.0575833333333333;-1,84433E+14
BRCA78;BRCA;0.31875;0.876214285714286;136375;3,15517E+14;1686;-1,64379E+14;-1,77342E+14
BRCA79;BRCA;2484625;0.624714285714286;3,02183E+14;5,46758E+14;3776875;1021625;-13675
BRCA80;BRCA;242025;0.0158571428571428;23025;4,66492E+14;-19175;-0.324041666666667;-0.564083333333333
BRCA81;BRCA;-325025;2,04186E+14;-166775;0.579083333333333;-2793875;-1.91;-1,97817E+14
BRCA82;BRCA;2834875;0.9175;3,12708E+14;3,28467E+14;1377375;0.739958333333333;-1,26942E+14
BRCA83;BRCA;-106175;0.480142857142857;-0.785083333333333;-3,34258E+14;2144875;0.929958333333333;-0.834333333333333
BRCA84;BRCA;-386425;1,69636E+14;-1,37558E+14;0.03225;-24035;-0.4245;-1,78258E+14
BRCA85;BRCA;1926625;-0.420857142857143;20595;4,46308E+14;3792;0.440958333333333;-1,39067E+14
BRCA86;BRCA;-174525;-0.4275;-1,21308E+14;-3038;297175;1876125;0.475666666666667
BRCA87;BRCA;-0.42975;1,74829E+14;0.84825;249125;0.22875;-1,62733E+14;-1,72733E+14
